date,price
2019-09-06,549.0
2019-09-07,549.0
2019-09-08,549.0
2019-09-09,549.0
2019-09-10,549.0
2019-09-11,19.9
2019-09-12,19.9
2019-09-13,19.9
2019-09-14,549.0
2019-09-15,549.0
2019-09-16,549.0
2019-09-17,449.0
2019-09-18,449.0
2019-09-19,449.0
2019-09-20,449.0
2019-09-21,499.0
2019-09-22,499.0
2019-09-23,499.0
2019-09-24,499.0
2019-09-25,549.0
2019-09-26,549.0
2019-09-27,549.0
2019-09-28,549.0
2019-09-29,549.0
2019-09-30,549.0
2019-10-01,549.0
2019-10-02,549.0
2019-10-03,549.0
2019-10-04,549.0
2019-10-05,549.0
2019-10-06,549.0
2019-10-07,549.0
2019-10-08,549.0
2019-10-09,549.0
2019-10-10,549.0
2019-10-11,499.0
2019-10-12,499.0
2019-10-13,499.0
2019-10-14,499.0
2019-10-15,499.0
2019-10-16,499.0
2019-10-17,499.0
